2019-03-26 23:41:14 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 install dirmngr:amd64 <none> 2.1.18-8~deb9u4
2019-03-26 23:41:14 status half-installed dirmngr:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 startup packages configure
2019-03-26 23:41:14 configure libnpth0:amd64 1.3-1 <none>
2019-03-26 23:41:14 status unpacked libnpth0:amd64 1.3-1
2019-03-26 23:41:14 status half-configured libnpth0:amd64 1.3-1
2019-03-26 23:41:14 status installed libnpth0:amd64 1.3-1
2019-03-26 23:41:14 configure readline-common:all 7.0-3 <none>
2019-03-26 23:41:14 status unpacked readline-common:all 7.0-3
2019-03-26 23:41:14 status half-configured readline-common:all 7.0-3
2019-03-26 23:41:14 status installed readline-common:all 7.0-3
2019-03-26 23:41:14 configure libnettle6:amd64 3.3-1+b2 <none>
2019-03-26 23:41:14 status unpacked libnettle6:amd64 3.3-1+b2
2019-03-26 23:41:14 status half-configured libnettle6:amd64 3.3-1+b2
2019-03-26 23:41:14 status installed libnettle6:amd64 3.3-1+b2
2019-03-26 23:41:14 configure libldap-common:all 2.4.44+dfsg-5+deb9u2 <none>
2019-03-26 23:41:14 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status installed libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 configure libreadline7:amd64 7.0-3 <none>
2019-03-26 23:41:14 status unpacked libreadline7:amd64 7.0-3
2019-03-26 23:41:14 status half-configured libreadline7:amd64 7.0-3
2019-03-26 23:41:14 status installed libreadline7:amd64 7.0-3
2019-03-26 23:41:14 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2019-03-26 23:41:14 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-03-26 23:41:14 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-03-26 23:41:14 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-03-26 23:41:14 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2019-03-26 23:41:14 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-03-26 23:41:14 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-03-26 23:41:14 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-03-26 23:41:14 configure libksba8:amd64 1.3.5-2 <none>
2019-03-26 23:41:14 status unpacked libksba8:amd64 1.3.5-2
2019-03-26 23:41:14 status half-configured libksba8:amd64 1.3.5-2
2019-03-26 23:41:14 status installed libksba8:amd64 1.3.5-2
2019-03-26 23:41:14 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2019-03-26 23:41:14 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2019-03-26 23:41:14 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2019-03-26 23:41:14 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2019-03-26 23:41:14 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2019-03-26 23:41:14 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2019-03-26 23:41:14 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2019-03-26 23:41:14 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2019-03-26 23:41:14 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2019-03-26 23:41:14 status half-configured libc-bin:amd64 2.24-11+deb9u4
2019-03-26 23:41:14 status installed libc-bin:amd64 2.24-11+deb9u4
2019-03-26 23:41:14 configure libsqlite3-0:amd64 3.16.2-5+deb9u1 <none>
2019-03-26 23:41:14 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2019-03-26 23:41:14 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2019-03-26 23:41:14 status half-configured libsqlite3-0:amd64 3.16.2-5+deb9u1
2019-03-26 23:41:14 status installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2019-03-26 23:41:14 configure libffi6:amd64 3.2.1-6 <none>
2019-03-26 23:41:14 status unpacked libffi6:amd64 3.2.1-6
2019-03-26 23:41:14 status half-configured libffi6:amd64 3.2.1-6
2019-03-26 23:41:14 status installed libffi6:amd64 3.2.1-6
2019-03-26 23:41:14 configure libassuan0:amd64 2.4.3-2 <none>
2019-03-26 23:41:14 status unpacked libassuan0:amd64 2.4.3-2
2019-03-26 23:41:14 status half-configured libassuan0:amd64 2.4.3-2
2019-03-26 23:41:14 status installed libassuan0:amd64 2.4.3-2
2019-03-26 23:41:14 configure libidn11:amd64 1.33-1 <none>
2019-03-26 23:41:14 status unpacked libidn11:amd64 1.33-1
2019-03-26 23:41:14 status half-configured libidn11:amd64 1.33-1
2019-03-26 23:41:14 status installed libidn11:amd64 1.33-1
2019-03-26 23:41:14 configure libhogweed4:amd64 3.3-1+b2 <none>
2019-03-26 23:41:14 status unpacked libhogweed4:amd64 3.3-1+b2
2019-03-26 23:41:14 status half-configured libhogweed4:amd64 3.3-1+b2
2019-03-26 23:41:14 status installed libhogweed4:amd64 3.3-1+b2
2019-03-26 23:41:14 configure libp11-kit0:amd64 0.23.3-2 <none>
2019-03-26 23:41:14 status unpacked libp11-kit0:amd64 0.23.3-2
2019-03-26 23:41:14 status half-configured libp11-kit0:amd64 0.23.3-2
2019-03-26 23:41:14 status installed libp11-kit0:amd64 0.23.3-2
2019-03-26 23:41:14 configure pinentry-curses:amd64 1.0.0-2 <none>
2019-03-26 23:41:14 status unpacked pinentry-curses:amd64 1.0.0-2
2019-03-26 23:41:14 status half-configured pinentry-curses:amd64 1.0.0-2
2019-03-26 23:41:14 status installed pinentry-curses:amd64 1.0.0-2
2019-03-26 23:41:14 configure gnupg-agent:amd64 2.1.18-8~deb9u4 <none>
2019-03-26 23:41:14 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
